ko_product	count
F-type H+-transporting ATPase subunit beta	59
alpha-glucosidase	91
argininosuccinate synthase	45
beta-galactosidase	267
branched-chain amino acid aminotransferase	54
cell division protein FtsQ	8
enoyl-[acyl-carrier protein] reductase I	100
fumarate hydratase, class I	67
glucosamine-6-phosphate deaminase	63
glutamine synthetase	17
hexosaminidase	17
iron complex transport system ATP-binding protein	41
isocitrate dehydrogenase	163
lactaldehyde dehydrogenase / glycolaldehyde dehydrogenase	36
mannose-1-phosphate guanylyltransferase	65
nicotinate-nucleotide pyrophosphorylase (carboxylating)	73
phosphoglucomutase	82
preprotein translocase subunit YajC	11
pyruvate, orthophosphate dikinase	177
ribonuclease Z	72
small subunit ribosomal protein S9	39
threonine synthase	82
tryptophan synthase beta chain	68
